trade_id,factor_id,coefficient,impact_value
18875,8,48470914501.9,593077889.5230854
18876,8,48470914501.9,534372111.2648187
18877,8,48470914501.9,4647232923.631195
18878,8,48470914501.9,6873936939.031502
18879,8,48470914501.9,4533135593.129536
18880,8,48470914501.9,633513187.9129105
19255,8,60675615325.7,2300600024.5913916
19256,8,60675615325.7,3573983748.6218925
19257,8,60675615325.7,2350340579.7712345
19258,8,60675615325.7,1861422589.1502676
19259,8,60675615325.7,7766118875.866338
19260,8,60675615325.7,2958890664.37558
19261,8,60675615325.7,1629195756.4267633
19262,8,60675615325.7,7476026151.641624
19263,8,60675615325.7,2531295519.885718
19264,8,60675615325.7,5958012678.264985
19265,8,60675615325.7,1098250996.893363
19266,8,60675615325.7,1399383104.7447371
19267,8,60675615325.7,987956344.3489945
19268,8,60675615325.7,1772262660.6066434
19269,8,60675615325.7,160857966193.21725
19270,8,60675615325.7,4447149651.172071
19271,8,60675615325.7,37252765490.47213
19272,8,60675615325.7,3044500676.7482705
19273,8,60675615325.7,1868453095.0630882
19274,8,60675615325.7,1433673679.6605206
19275,8,60675615325.7,3797973856.8022265
19276,8,60675615325.7,2824520877.2190833
19277,8,60675615325.7,4470678949.307863
19278,8,60675615325.7,2625250600.618316
28382,414,180626721965.0,33936821202.707047
28383,414,180626721965.0,6119741674.789672
28384,414,180626721965.0,5289776682.170165
28385,414,180626721965.0,19637441775.175194
28386,414,180626721965.0,108939144333.7047
28387,414,180626721965.0,20337100310.22484
28388,414,180626721965.0,19339722421.660927
28389,414,180626721965.0,2321191987.1802197
28390,414,180626721965.0,3032827805.835468
28391,414,180626721965.0,8955486482.466549
28392,414,180626721965.0,5511810385.505735
28393,414,180626721965.0,894951113987.5126
28394,414,180626721965.0,13610617424.003761
28395,414,180626721965.0,5414265679.064737
28396,414,180626721965.0,150980678769.4015
28397,414,180626721965.0,2654873118.5594115
28398,414,180626721965.0,3905270684.3394017
28399,414,180626721965.0,254050211104.8584
28400,414,180626721965.0,147419779420.4426
28401,414,180626721965.0,4014369069.1575947
28402,414,180626721965.0,3503102265.7825193
28403,414,180626721965.0,19838825621.498657
28404,414,180626721965.0,29156464585.505108
28405,414,180626721965.0,30717847281.10628
28406,414,180626721965.0,4452375579.679458
28407,414,180626721965.0,33524221437.27947
28408,414,180626721965.0,208812560610.54874
28409,414,180626721965.0,184168423386.01654
28410,414,180626721965.0,5583887845.137169
28411,414,180626721965.0,2515977694.0751534
28412,414,180626721965.0,5173018929.817894
28413,414,180626721965.0,75940909817.30235
28414,414,180626721965.0,3253554552.0295134
28415,414,180626721965.0,22103482398.17811
28416,414,180626721965.0,101662468080.30843
28417,414,180626721965.0,43224024432.746765
28418,414,180626721965.0,21934896229.475945
28419,414,180626721965.0,76582039707.10896
28420,414,180626721965.0,6658442553.057259
28421,414,180626721965.0,26597788358.35422
28422,414,180626721965.0,75725640135.48572
28423,414,180626721965.0,5451169952.678612
28424,414,180626721965.0,2828184610.1196513
28425,414,180626721965.0,365665803741.115
28426,414,180626721965.0,3286100562.0597816
28427,414,180626721965.0,2863341389.288236
28428,414,180626721965.0,2015568757.048776
28429,414,180626721965.0,807763438549.0524
28430,414,180626721965.0,1887946031.64362
28431,414,180626721965.0,1937942883.3873246
28432,414,180626721965.0,2142619009.1246967
28433,414,180626721965.0,19330089740.551136
28434,414,180626721965.0,42945948299.729935
28435,414,180626721965.0,605503477940.3262
28436,414,180626721965.0,31894775513.69816
28437,414,180626721965.0,2130370481.7303758
